queue	kind	key	part_of_speech	occurrences	exclusive_occurrences	ambiguous_occurrences	artifact_count	support	top_forms
common_lexeme	lexical_group	quidam	ADJ	918	918	0		corroborated_independent	"[{""form"":""quendam"",""occurrences"":859,""exclusive"":true},{""form"":""quarundam"",""occurrences"":59,""exclusive"":true}]"
common_lexeme	lexical_group	quinam	ADJ	199	199	0		single_independent	"[{""form"":""quoi"",""occurrences"":199,""exclusive"":true}]"
common_lexeme	lexical_group	solennis	ADJ	144	134	10		single_independent	"[{""form"":""solenniter"",""occurrences"":59,""exclusive"":true},{""form"":""solennia"",""occurrences"":26,""exclusive"":true},{""form"":""solenni"",""occurrences"":22,""exclusive"":true},{""form"":""solennibus"",""occurrences"":13,""exclusive"":true},{""form"":""solennes"",""occurrences"":11,""exclusive"":true},{""form"":""solennis"",""occurrences"":10,""exclusive"":false},{""form"":""solennem"",""occurrences"":3,""exclusive"":true}]"
common_lexeme	lexical_group	apuliae	NOUN	114	114	0		single_independent	"[{""form"":""apuliae"",""occurrences"":112,""exclusive"":true},{""form"":""apulias"",""occurrences"":1,""exclusive"":true},{""form"":""apuliæ"",""occurrences"":1,""exclusive"":true}]"
common_lexeme	lexical_group	olympias	NOUN	87	87	0		single_independent	"[{""form"":""olympiade"",""occurrences"":87,""exclusive"":true}]"
common_lexeme	lexical_group	pharisaeus	NOUN	200	85	115		single_independent	"[{""form"":""pharisaei"",""occurrences"":99,""exclusive"":false},{""form"":""pharisaeorum"",""occurrences"":35,""exclusive"":true},{""form"":""pharisaeis"",""occurrences"":21,""exclusive"":true},{""form"":""pharisaeos"",""occurrences"":19,""exclusive"":true},{""form"":""pharisaeus"",""occurrences"":16,""exclusive"":false},{""form"":""pharisaeo"",""occurrences"":7,""exclusive"":true},{""form"":""pharisaeum"",""occurrences"":3,""exclusive"":true}]"
common_lexeme	lexical_group	diaphanus	ADJ	66	66	0		single_independent	"[{""form"":""diaphana"",""occurrences"":31,""exclusive"":true},{""form"":""diaphanum"",""occurrences"":14,""exclusive"":true},{""form"":""diaphani"",""occurrences"":9,""exclusive"":true},{""form"":""diaphano"",""occurrences"":6,""exclusive"":true},{""form"":""diaphanae"",""occurrences"":2,""exclusive"":true},{""form"":""diaphanus"",""occurrences"":2,""exclusive"":true},{""form"":""diaphanis"",""occurrences"":1,""exclusive"":true},{""form"":""diaphanorum"",""occurrences"":1,""exclusive"":true}]"
common_lexeme	lexical_group	suppellex	NOUN	65	65	0		corroborated_independent	"[{""form"":""suppellectili"",""occurrences"":22,""exclusive"":true},{""form"":""suppellectilem"",""occurrences"":17,""exclusive"":true},{""form"":""suppellectile"",""occurrences"":11,""exclusive"":true},{""form"":""suppellectilis"",""occurrences"":9,""exclusive"":true},{""form"":""suppellex"",""occurrences"":4,""exclusive"":true},{""form"":""suppellectiles"",""occurrences"":1,""exclusive"":true},{""form"":""suppellectilibus"",""occurrences"":1,""exclusive"":true}]"
common_lexeme	lexical_group	maecenas	NOUN	128	57	71		single_independent	"[{""form"":""maecenas"",""occurrences"":71,""exclusive"":false},{""form"":""maecenatis"",""occurrences"":18,""exclusive"":true},{""form"":""maecenatem"",""occurrences"":14,""exclusive"":true},{""form"":""maecenate"",""occurrences"":9,""exclusive"":true},{""form"":""maecenati"",""occurrences"":9,""exclusive"":true},{""form"":""maecenates"",""occurrences"":4,""exclusive"":true},{""form"":""maecenatibus"",""occurrences"":1,""exclusive"":true},{""form"":""maecenatum"",""occurrences"":1,""exclusive"":true},{""form"":""mæcenatis"",""occurrences"":1,""exclusive"":true}]"
common_lexeme	lexical_group	sydus	NOUN	50	50	0		single_independent	"[{""form"":""sydera"",""occurrences"":23,""exclusive"":true},{""form"":""sydus"",""occurrences"":14,""exclusive"":true},{""form"":""sydere"",""occurrences"":8,""exclusive"":true},{""form"":""syderis"",""occurrences"":2,""exclusive"":true},{""form"":""syderum"",""occurrences"":2,""exclusive"":true},{""form"":""syderibus"",""occurrences"":1,""exclusive"":true}]"
common_lexeme	lexical_group	lio	VERB	47	47	0		corroborated_independent	"[{""form"":""lia"",""occurrences"":33,""exclusive"":true},{""form"":""lias"",""occurrences"":10,""exclusive"":true},{""form"":""liandis"",""occurrences"":1,""exclusive"":true},{""form"":""liare"",""occurrences"":1,""exclusive"":true},{""form"":""liari"",""occurrences"":1,""exclusive"":true},{""form"":""lio"",""occurrences"":1,""exclusive"":true}]"
common_lexeme	lexical_group	florus	ADJ	43	43	0		corroborated_independent	"[{""form"":""floro"",""occurrences"":43,""exclusive"":true}]"
